Name	Q-E	ZN-E	PH-E	DBO-E	DQO-E	SS-E	SSV-E	SED-E	COND-E	PH-P	DBO-P	SS-P	SSV-P	SED-P	COND-P	PH-D	DBO-D	DQO-D	SS-D	SSV-D	SED-D	COND-D	PH-S	DBO-S	DQO-S	SS-S	SSV-S	SED-S	COND-S	RD-DBO-P	RD-SS-P	RD-SED-P	RD-DBO-S	RD-DQO-S	RD-DBO-G	RD-DQO-G	RD-SS-G	RD-SSED-G
D-17/3/91	27968	1.60	8.0	202	471	242	63.6	5.5	1158	8.0	278	340	60.6	6.5	1160	7.9	118	277	106	73.6	0.4	1205	7.7	25	83	21	76.2	0.00	1285	57.6	68.8	94.6	78.8	70.0	87.6	82.4	91.3	100
D-18/3/91	30853	1.24	8.0	179	455	168	70.2	4.3	1410	8.0	179	166	69.9	3.0	1347	7.9	?	376	104	78.8	0.1	1371	7.6	24	99	22	86.4	0.00	1203	?	37.3	96.7	?	73.7	86.6	78.2	86.9	100
D-19/3/91	29815	0.98	8.0	224	400	160	68.8	4.5	2230	8.2	244	178	64.0	5.0	2270	8.0	168	392	96	77.1	0.6	1763	7.7	20	94	22	83.6	0.00	1754	31.1	46.1	88.0	88.1	76.0	91.1	76.5	86.3	100
D-20/3/91	32578	2.50	7.8	223	443	184	69.6	4.0	1553	7.9	214	186	71.0	3.5	1670	7.9	181	345	86	83.7	0.1	1643	7.8	29	86	22	90.9	0.01	1665	15.4	53.8	97.1	84.0	75.1	87.0	80.6	88.0	99.8
D-21/3/91	33784	1.00	7.9	166	392	186	64.5	7.5	2510	8.0	213	198	64.6	5.0	2470	8.0	149	357	110	74.5	1.2	2390	7.8	20	94	20	80.0	0.02	2420	30.0	44.4	76.0	86.6	73.7	88.0	76.0	89.2	99.7
D-22/3/91	33029	3.40	7.9	226	624	264	75.0	?	2150	7.8	336	226	75.2	?	2070	7.7	164	348	82	95.1	?	2240	7.6	27	60	22	86.4	?	2210	51.2	63.7	?	83.5	82.8	88.1	90.4	91.7	?
D-24/3/91	48657	1.70	7.7	72	180	122	49.2	2.5	990	7.7	98	122	45.9	1.8	986	7.6	61	180	70	62.9	0.2	923	7.6	21	72	18	83.3	0.00	1109	37.8	42.6	88.9	65.6	60.0	70.8	60.0	85.2	100
D-25/3/91	45512	2.60	7.9	89	176	166	36.1	1.2	1059	8.0	97	218	32.1	1.9	1145	8.0	72	161	86	48.8	0.2	1060	7.7	15	?	14	85.7	0.00	1046	25.8	60.6	92.1	79.2	?	83.1	?	91.6	100
D-26/3/91	44085	4.20	7.4	183	325	228	47.4	3.5	1229	7.7	125	218	50.5	3.0	1254	7.8	97	368	136	57.4	1.3	1343	7.7	15	94	18	77.8	0.00	1382	22.4	37.6	56.7	84.5	74.5	91.8	71.1	92.1	100
D-27/3/91	40578	3.28	7.9	174	?	160	67.5	3.1	1433	7.9	203	146	65.8	3.0	1388	7.9	133	?	82	80.5	0.2	1472	7.8	17	?	18	79.8	0.00	1459	34.5	43.8	93.3	87.2	?	90.2	?	88.8	100
D-29/3/91	34917	8.50	7.5	156	311	226	67.3	?	1075	7.5	256	204	64.7	?	1116	7.5	112	182	92	76.1	?	1141	7.4	12	29	15	80.0	?	1170	56.3	54.9	?	89.3	84.1	92.3	90.7	93.4	?
D-31/3/91	32217	2.00	7.7	365	370	172	62.8	?	928	7.6	296	196	55.1	?	936	7.7	93	135	80	77.5	?	940	7.6	13	70	16	87.5	?	940	68.6	59.2	?	86.0	48.1	96.4	81.1	90.7	?
D-1/2/91	38105	1.56	8.4	230	517	218	75.2	5.0	1645	8.5	269	212	73.6	4.5	1676	8.3	154	349	102	80.4	0.4	1658	8.0	16	82	13	92.3	0.01	1658	42.8	51.9	91.1	89.6	76.5	93.0	84.1	94.0	99.8
D-3/2/91	30701	0.62	8.1	136	447	196	60.2	4.5	1105	8.3	159	188	60.6	3.5	1120	7.8	114	247	74	78.4	0.4	1155	7.6	29	106	27	85.2	0.01	1312	28.3	60.6	88.6	74.6	57.1	78.7	76.3	86.2	99.8
D-4/2/91	34290	3.03	8.1	194	435	166	72.3	4.0	1770	8.1	213	260	70.0	5.5	1930	8.1	64	345	100	76.0	0.8	1880	7.7	14	51	13	84.6	0.00	1722	70.0	61.5	85.5	78.1	85.2	92.8	88.3	92.2	100
D-5/2/91	35338	3.20	8.0	195	574	166	69.9	4.9	1563	8.0	156	188	68.1	4.0	1580	8.0	131	337	76	78.9	0.5	1695	7.7	17	83	16	87.5	0.02	1736	16.0	59.6	87.5	87.0	75.4	91.3	85.5	90.4	99.6
D-6/2/91	37120	2.57	8.0	212	546	184	72.8	4.5	2240	8.0	312	182	74.7	4.3	2160	8.0	169	329	94	74.5	0.5	1940	7.8	16	91	14	92.9	0.00	1860	45.8	48.4	89.4	90.5	72.3	92.5	83.3	92.4	100
D-7/2/91	35190	10	8.1	227	812	350	59.4	0.7	1512	8.1	323	358	59.8	7.3	1592	8.1	175	412	150	70.7	1.2	1524	7.8	21	91	20	90.0	0.10	1565	45.8	58.1	83.4	88.0	77.9	90.7	88.8	94.3	85.7
D-8/2/91	33714	2.65	8.4	228	473	200	74.0	?	1542	8.3	224	280	69.3	?	1546	8.1	146	335	106	81.1	?	1658	7.7	31	117	22	90.9	?	1645	34.8	62.1	?	78.8	65.1	86.4	75.3	89.0	?
D-10/2/91	29660	1.99	8.0	223	521	208	74.0	5.3	1585	8.0	230	200	75.0	5.0	1555	7.9	158	327	120	75.0	1.1	1597	9.7	21	?	17	88.2	0.02	1708	31.3	40.0	78.0	86.7	?	90.6	?	91.8	100
D-11/2/91	31749	10.7	8.1	247	525	264	71.2	6.3	1606	8.2	230	262	67.9	7.0	1598	8.1	148	339	126	74.6	0.8	1564	7.8	24	?	21	85.7	0.05	1455	35.7	51.9	88.6	83.8	?	90.3	?	92.0	99.2
D-12/2/91	32736	5.30	8.2	257	629	312	71.8	7.5	1823	8.2	259	264	72.0	6.3	1767	8.2	199	374	104	78.8	0.6	1871	7.8	28	108	22	90.9	0.02	1850	23.2	60.6	90.4	85.9	71.1	89.1	82.8	92.9	99.7
D-13/2/91	34441	8.20	8.1	199	486	240	68.3	9.0	1605	8.1	259	352	68.2	13.2	1684	8.1	168	394	116	75.9	0.4	1679	7.7	31	147	28	85.7	0.03	1770	35.1	67.0	97.0	81.5	62.7	84.4	69.8	88.3	100
D-14/2/91	32888	6.25	8.1	185	401	156	79.5	4.0	1513	8.2	170	224	73.2	5.5	1593	8.1	149	296	86	90.7	0.4	1653	7.8	24	97	22	90.9	0.01	1682	12.4	61.6	92.7	83.9	67.2	87.0	75.8	85.9	100
D-15/2/91	34461	6.20	8.1	222	662	252	68.3	6.5	1734	8.2	250	310	7.1	7.3	1733	8.2	175	346	104	78.8	0.6	1789	7.8	24	86	25	96.0	0.07	1821	30.0	66.5	91.7	86.3	75.1	89.2	87.0	90.1	99
D-17/2/91	34045	1.32	8.0	129	506	178	62.9	4.0	1180	8.0	109	186	62.4	3.8	1148	7.9	126	269	90	77.8	0.4	1255	7.6	22	54	19	89.5	0.01	1406	?	51.6	90.8	82.5	79.9	82.9	89.3	89.3	100
D-18/2/91	36421	2.98	8.2	240	507	356	60.7	9.0	1672	8.2	225	300	60.7	8.0	1663	8.1	135	293	94	76.6	0.4	1622	7.7	22	78	20	86.0	0.02	1454	40.0	68.7	95.0	83.7	73.4	90.8	84.6	94.4	100
D-19/2/91	37662	2.60	8.1	238	490	170	70.6	5.0	1652	8.2	305	244	67.2	5.5	1643	8.2	135	371	102	70.6	1.0	1772	8.0	23	95	20	85.0	0.02	1800	55.7	58.2	81.8	83.0	74.4	90.3	80.6	88.2	100
D-21/2/91	29990	7.60	7.9	204	469	212	75.5	5.0	1145	7.9	252	246	70.7	6.5	1186	8.1	154	257	90	84.4	0.3	1172	7.8	18	20	14	88.6	0.00	1249	38.9	63.4	96.2	88.3	92.2	91.2	95.7	93.4	100
D-22/2/91	37561	12.5	7.5	?	?	196	72.5	?	1245	7.6	370	194	75.3	?	1185	7.7	212	230	110	74.6	?	1163	7.6	15	99	14	91.4	?	1207	42.7	43.3	?	92.9	57.0	?	?	92.9	?
D-24/2/91	27340	4.19	7.7	254	411	174	73.6	4.5	1339	7.9	375	292	67.1	8.0	1350	7.9	121	319	102	78.4	0.5	1423	7.7	17	96	19	86.3	0.00	1431	67.7	65.1	94.4	86.0	69.9	93.3	76.6	89.1	100
D-25/2/91	30055	5.70	7.8	230	422	222	71.2	5.0	1733	7.9	379	400	65.0	10.0	1790	8.0	194	346	122	82.0	0.9	1743	7.7	27	106	24	85.0	0.02	1629	48.8	69.5	91.0	86.1	69.4	88.3	74.9	89.2	100
D-26/2/91	31494	2.50	8.0	290	459	228	71.9	7.5	1684	8.0	449	298	71.1	9.0	1746	8.0	187	352	112	91.1	0.6	1828	7.8	28	57	22	87.3	0.02	1740	58.4	62.4	93.3	85.0	83.8	90.3	87.6	90.4	100
D-27/2/91	31765	2.00	7.9	240	887	314	76.4	7.0	2120	7.9	158	292	74.0	7.2	2200	7.9	167	511	136	75.0	0.7	2190	7.7	26	95	23	92.2	0.02	2170	?	53.4	91.0	84.4	81.4	89.2	89.3	92.7	100
D-28/2/91	25342	2.00	8.3	275	494	212	78.3	4.5	2070	8.3	411	322	73.3	10.0	2200	8.2	167	371	118	88.1	0.5	2240	7.8	18	138	22	?	0.02	2230	?	?	?	?	?	?	?	?	?
D-1/1/91	32441	0.80	8.1	198	351	134	76.1	2.5	1341	8.1	264	142	73.2	2.5	1300	8.1	138	234	98	83.7	0.3	1355	7.9	15	77	17	85.3	0.01	1394	47.7	31.0	88.0	89.1	67.1	92.4	78.1	87.3	99.6
D-2/1/91	40740	1.20	8.2	127	444	172	73.3	3.0	1658	8.2	117	184	71.7	4.0	1629	8.1	66	315	94	83.0	0.5	1644	7.8	15	85	15	90.0	0.01	1491	43.6	48.9	87.5	77.3	73.0	88.2	80.9	91.3	99.7
D-3/1/91	34637	3.50	8.1	231	368	162	76.5	4.0	1854	8.1	273	158	74.7	4.5	1846	8.1	158	308	76	86.8	0.4	1822	7.8	18	92	15	83.3	0.00	1734	42.1	51.9	92.2	88.6	70.1	92.2	75.0	90.7	100
D-4/1/91	34322	3.00	8.4	249	600	216	77.8	5.0	1566	8.3	220	204	74.5	5.3	1583	8.2	161	328	86	76.7	0.4	1643	7.7	18	88	12	83.3	0.05	1655	26.8	57.8	92.4	88.8	73.2	92.8	85.3	94.4	99.0
D-6/1/91	35111	0.50	7.9	228	461	126	74.6	2.5	1113	8.1	243	142	76.1	2.5	1104	8.0	122	279	92	78.3	0.5	1061	7.8	14	89	13	65.4	0.02	1142	49.8	35.2	80.0	88.5	68.1	93.9	80.7	89.7	99.2
D-7/1/91	40585	0.80	8.3	230	524	158	70.9	5.0	1178	8.2	285	186	66.7	5.5	1217	8.1	117	304	82	70.7	0.3	1178	7.8	13	92	13	73.1	0.02	1114	58.9	55.9	94.5	88.9	69.7	94.3	82.4	91.8	100
D-8/1/91	37735	1.67	7.9	203	487	168	77.4	3.5	1353	8.1	231	196	70.4	5.5	1338	8.1	107	341	60	86.7	0.2	1250	7.8	17	166	15	90.0	0.01	1268	53.7	69.4	96.4	84.1	51.3	91.6	65.9	91.1	99.7
D-9/1/91	34277	1.50	8.2	133	531	220	73.6	7.0	1514	8.2	207	288	65.3	11.0	1535	8.0	92	257	72	72.2	0.4	1476	7.7	11	83	17	73.5	0.01	1429	55.6	75.0	96.8	88.0	67.7	91.7	84.4	92.3	99.9
D-10/1/91	41451	0.50	8.0	131	384	154	74.0	4.5	1260	8.1	189	298	75.2	6.5	1300	8.0	114	273	80	80.0	0.3	1367	7.8	18	95	19	84.2	0.01	1443	39.7	73.2	96.2	84.2	65.2	86.3	75.3	87.7	100
D-11/1/91	45183	0.40	7.8	205	347	142	67.6	?	1373	7.7	339	148	68.9	?	1312	7.8	101	219	72	81.9	?	1409	7.7	19	100	19	85.1	?	1473	70.2	51.4	?	81.2	54.3	90.7	71.2	86.6	?
D-13/1/91	27415	0.90	7.7	241	332	158	65.8	4.0	1133	7.8	182	194	67.0	3.3	1148	7.9	118	256	90	80.0	0.3	1190	7.7	12	156	11	70.9	0.05	1236	35.2	53.6	90.8	89.8	39.1	95.0	53.0	93.0	99
D-14/1/91	42614	0.35	8.3	113	347	120	71.7	2.5	1385	8.2	106	134	74.6	2.5	1377	8.1	98	279	68	88.2	0.4	1380	7.8	7	84	11	90.9	0.01	1355	7.5	49.3	84.0	92.9	69.9	93.8	75.8	90.8	100
D-15/1/91	48914	0.35	8.1	203	434	128	70.3	4.0	1496	8.3	222	114	71.9	2.5	1533	8.2	134	271	84	71.4	1.0	1489	7.7	13	60	11	76.4	0.02	1520	39.6	26.3	60.0	90.3	77.9	93.6	86.2	91.4	100
D-16/1/91	49174	0.65	7.9	188	434	126	66.7	2.5	2450	8.1	159	156	67.9	3.0	2680	8.2	139	422	90	71.1	1.0	2950	7.8	22	155	28	78.6	0.05	2740	12.6	42.3	66.7	84.2	63.3	88.3	64.3	77.8	98
D-17/1/91	45151	0.50	8.2	166	307	118	79.7	4.0	1697	8.2	214	130	80.0	3.5	1661	8.2	148	295	96	77.1	1.2	1624	7.7	19	116	27	88.3	0.02	1821	30.8	26.2	65.7	87.2	60.7	88.6	62.2	77.1	100
D-18/1/91	37143	0.70	8.2	222	493	162	75.3	5.3	1620	8.3	211	162	72.8	4.0	1746	8.2	140	330	86	83.7	0.6	1834	7.7	16	105	11	81.8	0.01	1734	33.6	46.9	85.0	88.6	68.2	92.8	78.7	93.2	100
D-20/1/91	30244	0.86	7.6	224	337	146	69.9	3.5	1146	7.8	240	168	71.4	4.0	1144	7.9	134	302	92	78.3	0.4	1205	7.7	17	78	8	80.0	0.01	1283	44.2	45.2	90.0	87.3	74.2	92.4	76.9	94.5	99.7
D-21/1/91	34032	1.00	8.2	223	470	166	72.3	5.5	1343	8.3	273	196	75.5	5.0	1362	8.2	161	337	92	73.9	0.5	1419	7.8	16	86	13	39.2	0.00	1311	41.0	53.1	90.0	90.1	74.5	92.8	81.7	92.2	100
D-22/1/91	34904	1.20	8.0	272	665	188	73.4	6.0	2200	8.1	293	192	74.0	5.0	2200	8.0	164	304	96	87.5	0.6	2130	7.7	20	76	15	80.0	0.03	2150	44.0	50.0	88.0	87.8	75.0	92.6	88.6	92.0	99.6
D-23/1/91	36063	1.00	8.2	346	350	144	72.2	5.0	1233	8.3	257	152	75.0	4.0	1230	8.1	174	300	86	97.7	0.6	1266	7.8	20	61	10	70.0	0.01	1297	32.3	43.4	85.0	88.5	79.7	94.2	82.6	93.1	99.8
D-24/1/91	35500	2.70	8.2	148	545	188	76.6	5.3	1329	8.2	221	230	73.9	5.0	1354	8.2	152	337	94	80.9	0.4	1407	7.7	14	71	11	86.4	0.00	1387	31.2	59.1	92.0	90.8	78.9	90.5	87.0	94.1	100
D-25/1/91	37730	0.70	8.0	427	815	204	70.6	?	1455	7.9	517	186	73.1	?	1558	7.9	?	423	118	78.0	?	1602	7.4	23	101	20	88.0	?	1590	?	36.6	?	?	76.1	94.6	87.6	90.2	?
D-27/1/91	28209	1.20	7.9	319	532	250	71.2	6.5	1379	8.0	331	254	69.3	6.0	1453	8.0	150	299	92	73.9	0.4	1431	7.7	15	60	14	85.7	0.02	1508	54.7	63.8	93.3	90.0	79.9	95.3	88.7	94.4	100
D-28/1/91	32680	2.60	8.2	334	594	256	67.2	7.0	1380	8.3	268	238	67.2	5.5	1400	8.2	180	372	118	66.1	0.9	1352	7.9	20	62	11	80.0	0.00	1167	32.8	50.4	83.6	88.9	83.3	94.0	89.6	95.7	100
D-29/1/91	32974	2.60	8.1	311	420	208	69.2	6.5	1474	8.2	258	198	72.7	3.3	1559	8.1	189	309	152	71.1	3.0	1402	7.8	18	41	12	83.3	0.02	1466	26.7	23.2	7.7	90.5	86.7	94.2	90.2	94.2	99.7
D-30/1/91	33189	0.96	8.1	238	591	202	84.2	6.0	1380	8.0	282	210	80.0	5.5	1372	8.2	153	290	106	90.6	0.5	1413	7.9	16	63	17	94.1	0.01	1417	45.7	49.5	90.9	89.5	78.3	93.3	89.3	91.6	99.8
D-31/1/91	34579	2.50	8.3	261	592	216	71.3	7.5	1663	8.4	244	256	72.7	8.0	1685	8.2	163	400	170	77.6	3.5	1680	7.8	24	47	13	92.9	0.02	1848	33.2	33.6	56.3	85.3	88.3	90.8	92.1	94.0	99.7
D-1/5/91	46126	1.30	7.5	122	289	114	73.7	2.5	1103	7.6	122	146	64.4	2.0	1060	7.6	97	242	70	77.1	0.3	1094	7.6	12	99	10	96.0	0.00	1131	20.5	52.1	87.5	87.6	59.1	90.2	65.7	91.2	100
D-2/5/91	43445	4.10	7.8	133	295	158	55.7	3.0	1436	7.9	140	158	54.4	2.5	1448	7.9	92	206	74	73.0	0.3	1370	7.7	14	66	12	75.0	0.00	1203	34.3	53.2	88.0	84.8	68.0	89.5	77.6	92.4	100
D-3/5/91	35990	1.70	7.9	142	272	160	56.3	2.0	1543	7.9	154	174	57.5	3.0	1485	7.8	114	295	86	74.4	0.3	1560	7.6	18	74	14	85.7	0.00	1565	26.0	50.6	90.0	84.2	74.9	87.3	72.8	91.3	100
D-5/5/91	36976	0.94	7.9	152	510	136	67.6	3.0	1235	7.7	145	148	66.2	2.5	1266	7.7	75	204	72	69.4	0.3	1247	7.6	16	65	11	90.9	0.02	1279	48.3	51.4	88.0	78.7	68.1	89.5	87.3	91.9	99.3
D-6/5/91	33085	0.82	7.7	185	518	202	66.3	3.0	2350	7.8	345	210	67.6	3.5	2120	7.7	156	355	98	83.7	0.5	2080	7.7	14	65	13	92.3	0.02	1568	54.8	53.3	87.1	91.0	81.7	92.4	87.5	93.6	99.3
D-7/5/91	34150	3.10	7.9	228	486	184	69.6	4.5	1912	8.0	209	214	69.2	4.0	1867	8.0	145	297	100	78.0	0.5	1889	7.8	24	86	16	81.3	0.02	1888	30.6	53.3	88.8	83.4	71.0	89.5	82.3	91.3	99.6
D-8/5/91	60081	3.50	7.6	100	212	280	34.3	3.5	651	7.6	121	288	36.1	3.0	646	7.5	73	149	98	44.9	0.5	697	7.4	15	59	14	85.7	0.00	937	39.7	66.0	83.3	79.5	60.4	85.0	72.2	95.0	100
D-9/5/91	57629	3.70	7.3	80	204	180	32.2	1.8	940	7.4	84	198	34.3	1.5	912	7.5	45	125	74	45.9	0.3	863	7.4	10	51	10	80.0	0.00	683	46.4	62.6	80.0	77.8	59.2	87.5	75.0	94.4	100
D-10/5/91	48110	1.00	7.7	179	340	150	53.3	?	1509	7.7	168	198	48.5	?	1517	7.6	108	163	60	66.7	?	1568	7.2	14	96	10	72.0	?	1548	35.7	69.7	?	87.0	41.1	92.2	71.8	93.3	?
D-12/5/91	59184	0.60	7.5	94	189	120	56.7	1.5	1200	7.5	122	144	51.4	1.3	1206	7.6	71	203	54	66.7	0.2	1260	7.5	13	33	10	68.0	0.00	1353	41.8	62.5	84.0	81.7	83.7	86.2	82.5	91.7	100
D-13/5/91	47489	0.23	7.6	135	297	164	57.3	2.5	1000	7.7	175	196	53.1	2.5	1040	7.8	99	250	98	59.2	0.5	968	7.7	20	43	18	83.3	0.02	906	43.4	50.0	80.0	79.8	82.8	85.2	85.5	89.0	99.2
D-14/5/91	35374	4.40	7.9	175	566	292	57.5	7.5	1268	8.0	196	406	49.8	9.2	1358	7.9	139	327	110	72.7	0.5	1385	7.8	20	80	16	87.5	0.05	1234	29.1	72.9	95.1	85.6	75.5	88.6	85.9	94.5	99.3
D-15/5/91	33434	3.20	7.9	223	538	284	62.7	7.5	1425	8.0	218	256	63.3	6.5	1441	7.9	153	355	112	78.6	0.5	1403	7.9	18	104	19	84.2	0.02	1391	29.8	56.3	92.3	88.2	70.7	91.9	80.7	93.3	99.7
D-16/5/91	31967	3.25	7.9	222	516	456	46.5	8.5	1335	7.9	302	374	52.9	9.0	1393	7.8	161	352	110	74.6	0.4	1450	7.7	21	96	19	82.1	0.02	1493	46.7	70.6	95.6	87.0	72.7	90.5	81.4	95.8	99.8
D-17/5/91	32835	1.74	7.8	159	516	248	61.3	5.0	1405	7.7	201	314	55.4	5.0	1340	7.8	127	314	104	71.2	0.4	1381	7.7	17	72	15	86.7	0.01	1390	36.8	66.9	92.0	86.6	77.1	89.3	86.0	94.0	99.8
D-19/5/91	33000	1.50	7.7	153	404	238	56.3	4.5	1049	7.7	138	184	63.0	2.7	1073	7.7	114	265	116	69.0	0.5	1061	7.7	33	111	41	80.5	0.03	1126	17.4	37.0	81.5	71.1	58.1	78.4	72.5	82.8	99.4
D-20/5/91	47243	0.76	7.7	168	376	272	45.6	5.3	1052	7.8	136	296	45.3	5.6	1063	7.7	97	242	80	72.5	0.2	1083	7.7	14	87	15	100	0.01	1070	28.7	73.0	96.4	85.6	64.0	91.7	76.9	94.5	99.8
D-21/5/91	40295	0.90	7.7	238	327	194	60.8	5.9	1725	7.8	210	252	54.7	6.3	1724	7.8	101	233	82	68.3	0.3	1736	7.7	12	79	14	91.4	0.01	1673	51.9	67.5	95.2	88.1	66.1	95.0	75.8	92.8	99.8
D-22/5/91	38792	1.89	7.7	250	431	196	64.3	5.5	1219	7.9	399	238	62.2	6.0	1232	7.9	133	310	86	74.4	0.2	1212	7.7	15	90	17	76.5	0.05	1197	66.7	63.9	96.7	88.7	71.0	94.0	79.1	91.3	99.1
D-23/5/91	36162	2.50	7.4	224	421	204	68.6	5.0	1328	7.7	293	248	64.5	6.5	1341	7.7	119	282	94	72.3	0.2	1331	7.7	18	98	20	80.0	0.10	1265	59.4	62.1	96.9	84.9	65.2	92.0	76.7	90.2	98.0
D-24/5/91	36495	0.12	7.7	213	627	2008	17.9	?	1257	7.6	308	1692	17.7	?	1335	7.5	97	226	66	69.7	?	1255	7.6	16	119	13	76.9	?	1289	68.5	96.1	?	83.5	47.3	92.5	81.0	99.4	?
D-26/5/91	36922	0.50	7.6	122	338	174	62.1	5.0	1035	7.7	135	216	56.5	5.5	1030	7.7	108	244	68	79.4	0.2	1099	7.6	14	44	12	82.3	0.02	1140	20.0	68.5	97.3	87.0	82.0	88.5	87.0	93.1	99.6
D-27/5/91	43497	2.10	7.8	134	323	190	61.1	4.5	2070	7.8	126	206	54.4	3.0	2050	7.9	85	229	118	61.0	0.3	1784	7.7	15	56	13	84.6	0.02	1680	32.5	42.7	90.0	82.4	75.5	88.8	82.7	93.2	99.6
D-28/5/91	38809	0.75	7.6	179	432	1228	22.8	36	1889	7.6	174	1692	21.3	46.0	1906	7.7	99	227	90	66.7	0.5	1962	7.6	18	71	17	82.4	0.02	1932	43.1	94.7	98.9	81.8	68.7	89.9	83.6	98.6	99.9
D-29/5/91	34301	3.90	7.9	243	459	286	54.5	6.5	1174	7.9	216	342	46.2	7.5	1202	7.9	123	253	90	57.8	0.3	1190	7.8	15	103	14	85.7	0.01	1167	43.1	73.7	96.0	87.8	59.3	93.8	77.6	95.1	99.8
D-30/5/91	33968	1.50	7.7	198	546	308	62.3	13	1869	7.8	239	420	53.3	19	1893	7.9	81	222	76	84.2	0.4	1804	7.7	17	79	27	77.8	0.05	1792	66.1	81.9	97.9	79.0	64.4	91.4	85.5	91.2	99.6
D-31/5/91	34094	0.99	7.8	156	483	964	23.7	18	2120	7.8	196	764	30.4	17	2110	7.8	97	170	92	60.9	0.4	1930	7.6	15	?	20	75.0	0.03	1966	50.5	88.0	97.6	84.5	?	90.4	?	97.9	99.9
D-1/4/91	34573	0.71	7.7	156	276	146	71.2	3.3	1265	7.7	166	206	66.0	4.5	1270	7.7	114	176	124	72.6	0.9	1260	7.7	30	43	44	79.5	0.50	1270	31.3	39.8	80.0	73.7	75.6	80.8	84.4	69.9	84.6
D-2/4/91	35395	0.56	7.8	273	473	210	73.3	4.5	1232	7.9	213	224	68.8	6.0	1257	7.9	170	310	116	79.3	0.1	1214	7.7	22	85	22	78.8	0.00	1116	20.2	48.2	98.3	87.1	72.6	91.9	82.0	89.5	100
D-3/4/91	34525	0.77	7.8	312	576	224	67.9	5.5	1300	7.9	324	268	71.6	5.0	1280	7.9	157	306	92	73.9	0.4	1248	7.8	23	74	23	81.2	0.00	1251	51.5	65.7	93.0	85.4	75.8	92.6	87.2	89.7	100
D-4/4/91	35861	0.76	8.1	242	492	176	75.0	5.5	1530	8.2	397	238	68.1	5.0	1612	8.1	148	312	88	75.0	0.1	1589	7.9	20	84	19	77.6	0.00	1566	62.7	63.0	98.0	86.5	73.1	91.7	82.9	89.2	100
D-5/4/91	43082	0.68	7.8	173	496	178	66.3	4.5	1329	7.9	365	212	63.2	5.0	1303	7.9	124	304	100	78.0	0.4	1338	7.7	23	88	23	87.0	0.05	1408	66.0	52.8	92.0	81.5	71.1	86.7	82.3	87.1	98.9
D-7/4/91	27931	2.20	7.5	296	455	278	78.4	4.3	1439	7.6	255	182	69.2	3.9	1436	7.6	131	318	84	83.3	0.3	1421	7.6	15	106	13	96.2	0.00	1423	48.6	53.8	92.3	88.5	66.7	94.9	76.7	95.3	100
D-8/4/91	32954	0.70	7.7	269	423	192	67.7	6.0	1164	7.9	360	266	58.6	7.0	1170	7.9	145	314	94	70.2	0.6	1222	7.7	16	110	15	97.8	0.00	1149	59.7	64.7	91.4	89.0	65.0	94.1	74.0	92.2	100
D-9/4/91	33773	4.07	7.9	233	506	222	72.1	4.5	1410	7.9	328	242	68.6	5.8	1366	7.9	201	388	102	84.3	0.4	1589	7.7	18	90	16	93.8	0.02	1461	38.7	57.9	93.9	91.0	76.8	92.3	82.2	92.8	99.6
D-10/4/91	33666	2.70	7.6	237	494	204	71.6	5.5	1187	7.7	241	224	65.2	5.0	1248	7.6	164	341	102	84.3	0.7	1350	7.6	24	71	57	88.2	0.05	1312	32.0	54.5	86.0	85.4	79.2	89.9	85.6	72.1	99.1
D-11/4/91	39715	0.60	7.8	241	539	212	70.8	5.5	1338	7.9	232	218	67.0	5.5	1403	7.9	160	353	92	80.4	0.2	1427	7.8	20	81	13	92.3	0.00	1364	31.0	57.8	96.4	87.5	77.1	91.7	85.0	93.9	100
D-12/4/91	28923	0.70	7.2	133	467	186	65.6	?	1398	7.4	141	216	64.8	?	1425	7.5	130	393	76	84.2	?	1586	7.5	20	147	31	83.9	?	1543	7.8	64.8	?	84.6	62.6	85.0	68.5	83.3	?
D-14/4/91	32317	0.70	7.5	166	393	242	55.4	5.3	958	7.7	206	256	54.7	5.5	982	7.7	135	260	96	79.2	0.4	1038	7.6	13	27	10	90.0	0.00	1082	34.5	62.5	93.6	90.4	89.6	92.2	93.1	95.9	100
D-15/4/91	33090	0.40	7.9	205	453	198	70.7	5.0	1479	7.9	199	214	70.1	5.5	1530	7.9	130	301	92	76.1	0.3	1401	7.8	15	70	22	63.6	0.00	1233	34.7	57.0	94.5	88.5	76.7	92.7	84.5	88.9	100
D-16/4/91	33371	0.82	7.8	290	448	218	66.9	5.5	1842	8.0	254	200	62.0	5.0	1829	7.9	137	312	90	75.5	0.3	1856	7.8	19	92	22	79.5	0.05	1843	46.1	55.0	94.0	86.1	70.5	93.4	79.5	89.9	99.1
D-17/4/91	33813	2.85	7.7	212	468	224	66.1	4.5	1475	7.8	337	260	62.3	6.0	1506	7.9	149	320	114	75.4	0.3	1612	7.8	18	92	14	85.7	0.02	1654	55.8	56.2	95.8	87.9	71.3	91.5	80.3	93.8	99.6
D-18/4/91	35456	6.36	8.1	184	412	216	62.0	5.0	1800	8.1	194	234	61.5	5.0	1770	8.0	116	276	106	66.0	0.5	1817	7.7	14	84	12	91.7	0.02	1760	40.2	54.7	90.0	87.9	69.6	92.4	79.6	94.4	99.6
